!  List here the gas phase species used in MISTRA							
!  Blank lines or lines starting with an exclamation mark are ignored							
							
! The first column contains the index of the gas used in MISTRA.							
!    The indexes need to be sorted with increasing numbers							
!    It is possible to comment out some lines and keep the following indexes unchanged							
!    The max index actually used should be identical to 'j1_max' specified in 'gas_species.dat'							
!    The total number of gases actually used (i.e. not commented in the list) will be automatically exported as 'j1_used'							
							
! The second column displays the name of the gas as written in the KPP mechanism.							
!    A maximum of 12 characters is currently allowed, as is in KPP-2.2.3 (Fortran77 output)							
!    (this upper limit can be increased in common_modules.f)							
							
! The third column holds the molecular mass of the gas ( in kg.mol-1 )							
! The fourth and fifth columns holds the initial mixing ratios at ground and top levels in nmol mol-1 (ppb)							
! The sixth column holds the emission rate (in molecules/cm**2/s)							
							
! The seventh column holds the long name for netcdf output.							
!    A maximum of 100 characters is currently allowed							
!    (this upper limit can be increased in common_modules.f)							
							
! Nb	Name     	Mass  	Ground	Top	Emission rate	Long name        	Comment
! #	(12 char)	kg/mol	ppb   	ppb	mlc/cm**2/s	Use _ as space delimiter	
							
86	ClO3	84E-03	0.0	0.0	0.0	ClO3_(gas_phase)	
87	Cl2O3	119E-03	0.0	0.0	0.0	Cl2O3_(gas_phase)	
88	CH3OH	32E-03	0.0	0.0	0.0	methanol_(gas_phase)	
89	C2H5OH	46E-03	0.0	0.0	0.0	ethanol_(gas_phase)	
90	H2	02E-03	500.0	500.0	0.0	molecular_hydrogen_(gas_phase)	
91	NHS	63E-03	0.0	0.0	0.0	NHS_(gas_phase)	! lumped specie NH2 or H3NSO3 or CH3SNO see master_gas (average mass)
92	RCl	65E-03	0.0	0.0	0.0	RCl_(gas_phase)	! generic chlorine-containing hydrocarbon (mass calculated using C2H5Cl)
93	RBr	126E-03	0.0	0.0	0.0	RBr_(gas_phase)	! generic bromine-containing hydrocarbon (mass calculated using CH2SBr)
94	XOR	125E-03	0.0	0.0	0.0	XOR_(gas_phase)	! generic halogen-containing oxygenated (mass calculated using bromoethanol)
95	SOR	94E-03	0.0	0.0	0.0	SOR_(gas_phase)	! generic sulphur-containing oxygenated (mass calculated using CH3SCH2OOH)
96	SPAN	139E-03	0.0	0.0	0.0	SPAN_(gas_phase)	! generic sulphur-containing PAN (mass calculated using CH3SCH2OONO2)
! 97	Hg	201E-03				Hg(O)_(gas_phase)	
! 98	HgO	217E-03				HgO_(gas_phase)	
! 99	HgCl	236E-03				HgCl_(gas_phase)	
! 100	HgCl2	272E-03				HgCl2_(gas_phase)	
! 101	HgBr	281E-03				HgBr_(gas_phase)	
! 102	HgBr2	360E-03				HgBr2_(gas_phase)	
